,0
1343,16490
1344,16678
1345,16730
1346,16855
1347,16934
1348,16945
1349,16956
1350,16964
1351,16967
1352,16982
1353,16989
1354,17008
1355,17017
1356,17020
1357,17021
1358,17026
1359,17037
1360,17053
1361,17061
1362,17062
1363,17065
1364,17067
1365,17083
1366,17088
1367,17090
1368,17096
1369,17103
1370,17106
1371,17109
1372,17111
1373,17113
1374,17115
1375,17120
1376,17123
1377,17125
1378,17141
1379,17167
1380,17174
1381,17182
1382,17198
1383,17205
1384,17208
1385,17212
1386,17213
1387,17214
1388,17215
1389,17219
1390,17221
1391,17224
1392,17225
1393,17228
1394,17229
1395,17230
1396,17232
1397,17233
1398,17234
1399,17241
1400,17243
1401,17258
1402,17267
1403,17275
1404,17358
1405,17360
1406,17383
1407,17416
1408,17419
1409,17420
1410,17422
1411,17438
1412,17473
1413,17516
1414,17522
1415,17523
1416,17529
1417,17536
1418,17551
1419,17552
1420,17553
1421,17564
1422,17621
1423,17622
1424,17626
1425,17661
1426,17662
1427,17664
1428,17698
1429,17707
1430,17713
1431,17765
1432,17789
1433,17792
1434,17826
1435,17831
1436,17836
1437,17837
1438,17844
1439,17852
1440,17862
1441,17865
1442,17874
1443,17877
1444,17891
1445,17896
1446,17908
1447,17949
1448,17961
1449,18035
1450,18036
1451,18049
1452,18080
1453,18089
1454,18115
1455,18158
1456,18170
1457,18172
1458,18211
1459,18218
1460,18223
1461,18240
1462,18258
1463,18269
1464,18274
1465,18283
1466,18298
1467,18308
1468,18324
1469,18326
1470,18333
1471,18338
1472,18341
1473,18350
1474,18393
1475,18416
1476,18424
1477,18431
1478,18453
1479,18467
1480,18468
1481,18486
1482,18511
1483,18547
1484,18548
1485,18551
1486,18564
1487,18565
1488,18573
1489,18582
1490,18588
1491,18598
1492,18600
1493,18605
1494,18610
1495,18615
1496,18616
1497,18622
1498,18627
1499,18642
1500,18645
1501,18646
1502,18655
1503,18657
1504,18658
1505,18698
1506,18704
1507,18708
1508,18763
1509,18798
1510,18823
1511,18828
1512,18831
1513,18833
1514,18850
1515,18889
1516,18897
1517,18937
1518,18941
1519,18962
1520,18963
1521,18964
1522,18975
1523,18980
1524,18983
