Validation_Set,Topics,Alpha,Beta,Coherence
20% Corpus,7,0.61,symmetric,0.5057636630030586
20% Corpus,7,0.9099999999999999,0.01,0.5600648747817235
20% Corpus,7,0.9099999999999999,0.31,0.4347596246421312
20% Corpus,7,0.9099999999999999,0.61,0.6826817138854796
20% Corpus,7,0.9099999999999999,0.9099999999999999,0.7172787404764157
20% Corpus,7,0.9099999999999999,symmetric,0.5432708836083645
20% Corpus,7,asymmetric,0.01,0.5290663964865161
20% Corpus,7,asymmetric,0.31,0.5555299104182126
20% Corpus,7,asymmetric,0.61,0.503116300480395
20% Corpus,7,asymmetric,0.9099999999999999,0.5679354194158841
20% Corpus,7,asymmetric,symmetric,0.4572532994917386
20% Corpus,8,0.01,0.01,0.5067662177570785
20% Corpus,8,0.01,0.31,0.6005523744016097
20% Corpus,8,0.01,0.61,0.4979750082014499
20% Corpus,8,0.01,0.9099999999999999,0.5393810277040247
20% Corpus,8,0.01,symmetric,0.48950843165135416
20% Corpus,8,0.31,0.01,0.5569206122559277
20% Corpus,8,0.31,0.31,0.6062273265724404
20% Corpus,8,0.31,0.61,0.5087019077858925
20% Corpus,8,0.31,0.9099999999999999,0.4911436473075064
20% Corpus,8,0.31,symmetric,0.4267237087701383
20% Corpus,8,0.61,0.01,0.5707864568268178
20% Corpus,8,0.61,0.31,0.5322793160061998
20% Corpus,8,0.61,0.61,0.6373355139874297
20% Corpus,8,0.61,0.9099999999999999,0.7026679508589555
20% Corpus,8,0.61,symmetric,0.49801084599993106
20% Corpus,8,0.9099999999999999,0.01,0.5369737262151828
20% Corpus,8,0.9099999999999999,0.31,0.4894417097143039
20% Corpus,8,0.9099999999999999,0.61,0.692755868211986
20% Corpus,8,0.9099999999999999,0.9099999999999999,0.7088721151092057
20% Corpus,8,0.9099999999999999,symmetric,0.5204943681798004
20% Corpus,8,asymmetric,0.01,0.5108844532169009
20% Corpus,8,asymmetric,0.31,0.5662393105959225
20% Corpus,8,asymmetric,0.61,0.5378706105790618
20% Corpus,8,asymmetric,0.9099999999999999,0.6103659575145359
20% Corpus,8,asymmetric,symmetric,0.4563767039709241
20% Corpus,9,0.01,0.01,0.5089188424518176
20% Corpus,9,0.01,0.31,0.5728563166593126
20% Corpus,9,0.01,0.61,0.5450302144645861
20% Corpus,9,0.01,0.9099999999999999,0.5145637697622237
20% Corpus,9,0.01,symmetric,0.5207609693664629
20% Corpus,9,0.31,0.01,0.5103205063769441
20% Corpus,9,0.31,0.31,0.5631372300613089
20% Corpus,9,0.31,0.61,0.5270854232266629
20% Corpus,9,0.31,0.9099999999999999,0.5457821748292516
20% Corpus,9,0.31,symmetric,0.4386628464448398
20% Corpus,9,0.61,0.01,0.5358411139106549
20% Corpus,9,0.61,0.31,0.5459237539036552
20% Corpus,9,0.61,0.61,0.6487697172310924
20% Corpus,9,0.61,0.9099999999999999,0.7029648223831937
20% Corpus,9,0.61,symmetric,0.47344661081857875
20% Corpus,9,0.9099999999999999,0.01,0.5206798416783869
20% Corpus,9,0.9099999999999999,0.31,0.5239165082497005
20% Corpus,9,0.9099999999999999,0.61,0.65684701749943
20% Corpus,9,0.9099999999999999,0.9099999999999999,0.723257906711438
20% Corpus,9,0.9099999999999999,symmetric,0.5153848473462704
20% Corpus,9,asymmetric,0.01,0.5093321237248645
20% Corpus,9,asymmetric,0.31,0.5209946606803382
20% Corpus,9,asymmetric,0.61,0.48764419480552895
20% Corpus,9,asymmetric,0.9099999999999999,0.5796440209371685
20% Corpus,9,asymmetric,symmetric,0.45738367298747473
20% Corpus,10,0.01,0.01,0.4997788585646387
20% Corpus,10,0.01,0.31,0.5061447363918268
20% Corpus,10,0.01,0.61,0.43720187845051817
20% Corpus,10,0.01,0.9099999999999999,0.5116841930208176
20% Corpus,10,0.01,symmetric,0.4590265997374415
20% Corpus,10,0.31,0.01,0.49334400727623323
20% Corpus,10,0.31,0.31,0.5540525251789645
20% Corpus,10,0.31,0.61,0.4614800268875919
20% Corpus,10,0.31,0.9099999999999999,0.5295352272254036
20% Corpus,10,0.31,symmetric,0.45502882773276454
20% Corpus,10,0.61,0.01,0.5144938039149042
20% Corpus,10,0.61,0.31,0.546892070216479
20% Corpus,10,0.61,0.61,0.667366206062721
20% Corpus,10,0.61,0.9099999999999999,0.7129134422638502
20% Corpus,10,0.61,symmetric,0.46366861813485444
20% Corpus,10,0.9099999999999999,0.01,0.4982447391345608
20% Corpus,10,0.9099999999999999,0.31,0.5417415583524778
20% Corpus,10,0.9099999999999999,0.61,0.6908253478908893
20% Corpus,10,0.9099999999999999,0.9099999999999999,0.7189769596667207
20% Corpus,10,0.9099999999999999,symmetric,0.512291778675014
20% Corpus,10,asymmetric,0.01,0.529888852819792
20% Corpus,10,asymmetric,0.31,0.5613758956297424
20% Corpus,10,asymmetric,0.61,0.5530843436708713
20% Corpus,10,asymmetric,0.9099999999999999,0.560560423238637
20% Corpus,10,asymmetric,symmetric,0.4698640612451851
15% Corpus,2,0.01,0.01,0.6337800243122993
15% Corpus,2,0.01,0.31,0.6406593200999504
15% Corpus,2,0.01,0.61,0.6601020314122008
15% Corpus,2,0.01,0.9099999999999999,0.6392584787232891
15% Corpus,2,0.01,symmetric,0.6567596289745707
15% Corpus,2,0.31,0.01,0.6566122167901947
15% Corpus,2,0.31,0.31,0.5508454069232702
15% Corpus,2,0.31,0.61,0.6509451360679127
15% Corpus,2,0.31,0.9099999999999999,0.661685151779035
15% Corpus,2,0.31,symmetric,0.6403815988582677
15% Corpus,2,0.61,0.01,0.6576744167263446
15% Corpus,2,0.61,0.31,0.5807331351813244
15% Corpus,2,0.61,0.61,0.6626197854451306
15% Corpus,2,0.61,0.9099999999999999,0.6528416906082609
15% Corpus,2,0.61,symmetric,0.6876991361969529
15% Corpus,2,0.9099999999999999,0.01,0.6604878624950993
15% Corpus,2,0.9099999999999999,0.31,0.5918125465841177
15% Corpus,2,0.9099999999999999,0.61,0.6672723566568426
15% Corpus,2,0.9099999999999999,0.9099999999999999,0.683017595304644
15% Corpus,2,0.9099999999999999,symmetric,0.612997599305683
15% Corpus,2,asymmetric,0.01,0.637427368962806
15% Corpus,2,asymmetric,0.31,0.652141302201594
15% Corpus,2,asymmetric,0.61,0.6527441986926399
15% Corpus,2,asymmetric,0.9099999999999999,0.6565203309028442
15% Corpus,2,asymmetric,symmetric,0.6390387445948225
15% Corpus,3,0.01,0.01,0.6234996611430085
15% Corpus,3,0.01,0.31,0.5755923227945178
15% Corpus,3,0.01,0.61,0.6108811821904732
15% Corpus,3,0.01,0.9099999999999999,0.6276375543399796
15% Corpus,3,0.01,symmetric,0.6034373149740669
15% Corpus,3,0.31,0.01,0.6497296769818689
15% Corpus,3,0.31,0.31,0.5786888333619618
15% Corpus,3,0.31,0.61,0.6476678743119625
15% Corpus,3,0.31,0.9099999999999999,0.629199684868815
15% Corpus,3,0.31,symmetric,0.5987634316453166
15% Corpus,3,0.61,0.01,0.6464342422810233
15% Corpus,3,0.61,0.31,0.5998111990395631
15% Corpus,3,0.61,0.61,0.6278350699754122
15% Corpus,3,0.61,0.9099999999999999,0.6659399952738445
15% Corpus,3,0.61,symmetric,0.6149578501979378
15% Corpus,3,0.9099999999999999,0.01,0.6545533008276386
